meter_id,timestamp,location_city,location_district,location_gps,measurements_voltage_v,measurements_current_a,measurements_active_power_kw,measurements_power_factor,measurements_frequency_hz,measurements_total_energy_kwh,status_code,status_message,status_battery_level
LCL-001,2012-01-01 00:00:00,London,Camden,"51.536,-0.142",230.0,0.1,0.0209,0.95,49.99,3760.217,0,OK,100
LCL-002,2012-01-01 00:00:00,London,Westminster,"51.497,-0.135",230.0,0.1,0.0226,0.95,49.98,4098.259,0,OK,100
LCL-003,2012-01-01 00:00:00,London,Greenwich,"51.482,0.007",230.0,0.641,0.137,0.95,49.98,1146.552,0,OK,100
LCL-004,2012-01-01 00:00:00,London,Hackney,"51.545,-0.055",230.0,0.643,0.1437,0.95,50.0,2456.018,0,OK,100
LCL-005,2012-01-01 00:00:00,London,Islington,"51.538,-0.103",230.0,1.004,0.2231,0.95,49.98,1490.334,0,OK,100
LCL-006,2012-01-01 00:00:00,London,Chelsea,"51.487,-0.168",230.0,0.738,0.1554,0.95,50.02,2650.941,0,OK,100
LCL-007,2012-01-01 00:00:00,London,Kensington,"51.501,-0.193",230.0,0.409,0.0929,0.95,50.02,1861.211,0,OK,100
LCL-008,2012-01-01 00:00:00,London,Hammersmith,"51.492,-0.223",230.0,0.689,0.1548,0.95,49.99,3253.508,0,OK,100
LCL-009,2012-01-01 00:00:00,London,Fulham,"51.478,-0.196",230.0,0.38,0.0816,0.95,50.0,2315.335,0,OK,100
LCL-010,2012-01-01 00:00:00,London,Brixton,"51.462,-0.116",230.0,0.645,0.1457,0.95,49.99,1777.221,0,OK,100
LCL-001,2012-01-01 00:30:00,London,Camden,"51.536,-0.142",230.0,0.771,0.1686,0.95,50.01,3760.302,0,OK,100
LCL-002,2012-01-01 00:30:00,London,Westminster,"51.497,-0.135",230.0,0.1,0.0215,0.95,49.99,4098.27,0,OK,100
LCL-003,2012-01-01 00:30:00,London,Greenwich,"51.482,0.007",230.0,0.1,0.0227,0.95,49.99,1146.564,0,OK,100
LCL-004,2012-01-01 00:30:00,London,Hackney,"51.545,-0.055",230.0,0.876,0.1916,0.95,49.99,2456.113,0,OK,100
LCL-005,2012-01-01 00:30:00,London,Islington,"51.538,-0.103",230.0,0.837,0.1891,0.95,50.0,1490.428,0,OK,100
LCL-006,2012-01-01 00:30:00,London,Chelsea,"51.487,-0.168",230.0,0.584,0.1255,0.95,50.01,2651.004,0,OK,100
LCL-007,2012-01-01 00:30:00,London,Kensington,"51.501,-0.193",230.0,0.596,0.1308,0.95,50.01,1861.276,0,OK,100
LCL-008,2012-01-01 00:30:00,London,Hammersmith,"51.492,-0.223",230.0,0.984,0.2194,0.95,50.02,3253.618,0,OK,100
LCL-009,2012-01-01 00:30:00,London,Fulham,"51.478,-0.196",230.0,0.588,0.1268,0.95,49.99,2315.399,0,OK,100
LCL-010,2012-01-01 00:30:00,London,Brixton,"51.462,-0.116",230.0,0.332,0.0692,0.95,50.0,1777.255,0,OK,100
LCL-001,2012-01-01 01:00:00,London,Camden,"51.536,-0.142",230.0,0.268,0.0615,0.95,49.99,3760.332,0,OK,100
LCL-002,2012-01-01 01:00:00,London,Westminster,"51.497,-0.135",230.0,0.758,0.1648,0.95,50.01,4098.352,0,OK,100
LCL-003,2012-01-01 01:00:00,London,Greenwich,"51.482,0.007",230.0,0.244,0.0519,0.95,49.99,1146.59,0,OK,100
